Month; MeanT
Jan;-11.3
Feb;-12.5
Mar;-6.4
Apr;-0.5
May;5.1
Jun;11.7
Jul;15.0
Aug;12.5
Sep;7.6
Oct;2.0
Nov;-4.6
Dec;-8.9
